"race","yt_district","candidate","length","uid","uid_ext"
"gov2012","MS","DuPree",13.001667,"wNMANs0Exhw","MS_DuPree/wNMANs0Exhw"
"gov2012","MS","DuPree",33.018767,"YY3Azko9SVI","MS_DuPree/YY3Azko9SVI"
"gov2012","MS","DuPree",64.016667,"zC7gpNinwro","MS_DuPree/zC7gpNinwro"
"gov2012","MS","DuPree",33.505,"zwsruBbrmrA","MS_DuPree/zwsruBbrmrA"
"gov2012","MT","Hill",55.726667,"ABNPfNm4lhk","MT_Hill/ABNPfNm4lhk"
"gov2012","MT","Hill",30.51,"GIMlvGFz1Mg","MT_Hill/GIMlvGFz1Mg"
"gov2012","MT","Hill",33.065,"KFNeBbqBnYM","MT_Hill/KFNeBbqBnYM"
"gov2012","MT","Hill",30.463333,"Oj0JbpL5vmU","MT_Hill/Oj0JbpL5vmU"
"gov2012","MT","Hill",32.415056,"W_IgXGql4tg","MT_Hill/W_IgXGql4tg"
"gov2012","NC","Dalton",57.283333,"0LOn1PKJA9s","NC_Dalton/0LOn1PKJA9s"
"gov2012","NC","Dalton",60.371667,"2LysfhQ_pzc","NC_Dalton/2LysfhQ_pzc"
"gov2012","NC","Dalton",30.998333,"453cbkHQzec","NC_Dalton/453cbkHQzec"
"gov2012","NC","Dalton",63.668333,"8st2Pbl9CoM","NC_Dalton/8st2Pbl9CoM"
"gov2012","NC","Dalton",61.44,"abb5EFwhzhA","NC_Dalton/abb5EFwhzhA"
"gov2012","NC","Dalton",31.045078,"ebc9B9_gENY","NC_Dalton/ebc9B9_gENY"
"gov2012","NC","Dalton",31.045,"g3G3QHO7wk8","NC_Dalton/g3G3QHO7wk8"
"gov2012","NC","Dalton",31.045078,"J9oyoRcCe88","NC_Dalton/J9oyoRcCe88"
"gov2012","NC","Dalton",16.88,"NlXcM5poHBo","NC_Dalton/NlXcM5poHBo"
"gov2012","NC","Dalton",58.258333,"S1Z9_uwPWqE","NC_Dalton/S1Z9_uwPWqE"
"gov2012","NC","Dalton",31.88,"Uy0V60mpNKU","NC_Dalton/Uy0V60mpNKU"
"gov2012","NC","Dalton",15.486667,"w7GHp6auZqA","NC_Dalton/w7GHp6auZqA"
"gov2012","NC","Dalton",28.443333,"wdmkplto_ck","NC_Dalton/wdmkplto_ck"
"gov2012","NC","Dalton",55.75,"WrVTWzhp8D8","NC_Dalton/WrVTWzhp8D8"
"gov2012","NC","Dalton",31.230833,"XVay9RP_sqY","NC_Dalton/XVay9RP_sqY"
"gov2012","NC","Dalton",31.973333,"xZEDvEa0k6k","NC_Dalton/xZEDvEa0k6k"
"gov2012","NC","McCrory",31.045078,"SjptvQS0qow","NC_McCrory/SjptvQS0qow"
"gov2012","ND","Dalrymple",30.138333,"BjO2quOH90I","ND_Dalrymple/BjO2quOH90I"
"gov2012","ND","Dalrymple",30.161667,"FkJ6A7ze2bY","ND_Dalrymple/FkJ6A7ze2bY"
"gov2012","ND","Dalrymple",30.091667,"g_NPoELIBpI","ND_Dalrymple/g_NPoELIBpI"
"gov2012","ND","Dalrymple",30.091667,"K7QJy97KP6I","ND_Dalrymple/K7QJy97KP6I"
"gov2012","ND","Dalrymple",30.115,"KwqNZ1k_b2k","ND_Dalrymple/KwqNZ1k_b2k"
"gov2012","ND","Dalrymple",30.161667,"Sazk4skZ8kE","ND_Dalrymple/Sazk4skZ8kE"
"gov2012","ND","Dalrymple",30.138333,"vwQRywEQE54","ND_Dalrymple/vwQRywEQE54"
